gene_name,sample_id,TPM
HNRNPC,27311,14075.392774499793
HNRNPC,27312,12201.532339555757
HNRNPC,27313,9323.61467321121
HNRNPC,27314,7527.053003187076
HNRNPC,27315,4962.457323827387
HNRNPC,27330,12000.386292837444
HNRNPC,27331,12870.024897642434
HNRNPC,27332,6034.803809822207
HNRNPC,27333,7656.395308296306
HNRNPC,27334,10722.809510071631
HNRNPC,27335,5975.237187836615
HNRNPC,27336,9313.95189825432
HNRNPC,27337,10550.501156680062
HNRNPC,27338,12534.630760981401
HNRNPC,27339,5560.069382836551
HNRNPC,27340,9226.196613626895
HNRNPC,27341,7045.584061114028
HNRNPC,27424,8254.933028881787
HNRNPC,27425,14651.52457880713
HNRNPC,27426,6777.2536052156
HNRNPC,27427,10440.26084641935
HNRNPC,27428,9930.5714156339
HNRNPC,27429,9700.6031806246
HNRNPC,27430,7075.080255784415
HNRNPC,27431,4946.187093163021
HNRNPC,27432,11661.48900003692
HNRNPC,27433,12705.252656270104
HNRNPC,27435,3280.466728547987
HNRNPC,27436,13246.006794076824
HNRNPC,27437,10283.471936651733
HNRNPC,27438,12701.693357311815
HNRNPC,27439,7657.849292240978
HNRNPC,27440,10042.20204853395
HNRNPC,27441,13098.55866440121
HNRNPC,27442,10464.762991840265
HNRNPC,27443,9326.861142258951
HNRNPC,27458,10444.034341152805
HNRNPC,27459,9953.873208907531
HNRNPC,27460,8133.637915849529
HNRNPC,27461,4957.768861867582
HNRNPC,27462,17350.01038562415
HNRNPC,27463,9729.112136678834
HNRNPC,27464,9207.023114546719
HNRNPC,27465,10161.80252417637
HNRNPC,27466,12541.746433002945
HNRNPC,27467,8589.838350932667
HNRNPC,27468,6227.267859502627
HNRNPC,27469,5801.629035490153
HNRNPC,27552,13236.357426750099
HNRNPC,27553,9175.973692167263
HNRNPC,27554,6161.039214675688
HNRNPC,27555,6217.482591946431
HNRNPC,27556,9716.804257638869
HNRNPC,27557,2984.446512542595
HNRNPC,27558,8869.18596747134
HNRNPC,27559,12488.233932473104
HNRNPC,27560,4075.4258496029024
